AIRLINE,FL_DATE,ARR_DELAY,FL_NUMBER,ORIGIN_CITY,CANCELLED,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
SkyWest Airlines Inc.,2023-01-11,45.0,3506,"Raleigh/Durham, NC",0.0,0.0,0.0,0.0,45.0,0.0
Envoy Air,2023-01-12,50.0,3729,"Columbus, OH",0.0,5.0,0.0,34.0,0.0,11.0
SkyWest Airlines Inc.,2023-01-12,0.0,5437,"Fayetteville, AR",0.0,0.0,76.0,0.0,0.0,0.0
Spirit Air Lines,2023-01-12,-23.0,1039,"San Antonio, TX",0.0,0.0,0.0,57.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-12,-6.0,3657,"Providence, RI",0.0,15.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-01-12,-20.0,5303,"Sioux Falls, SD",0.0,,,,,
Envoy Air,2023-01-12,-9.0,3587,"Harlingen/San Benito, TX",0.0,0.0,0.0,0.0,0.0,93.0
PSA Airlines Inc.,2023-01-12,-15.0,5663,"Burlington, VT",0.0,0.0,0.0,56.0,0.0,0.0
SkyWest Airlines Inc.,2023-01-12,-17.0,5038,"Pueblo, CO",0.0,,,,,
Southwest Airlines Co.,2023-01-13,-16.0,1628,"Houston, TX",0.0,17.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,2023-01-13,-18.0,1383,"Jacksonville, FL",0.0,12.0,0.0,0.0,0.0,135.0
Southwest Airlines Co.,2023-01-13,58.0,845,"Oakland, CA",0.0,49.0,0.0,0.0,0.0,9.0
JetBlue Airways,2023-01-13,-8.0,2835,"San Francisco, CA",0.0,30.0,0.0,0.0,0.0,31.0
Frontier Airlines Inc.,2023-01-13,14.0,2786,"Seattle, WA",0.0,15.0,0.0,0.0,0.0,134.0
SkyWest Airlines Inc.,2023-01-13,-1.0,5290,"Charleston/Dunbar, WV",0.0,0.0,228.0,0.0,0.0,0.0
United Air Lines Inc.,2023-01-13,-13.0,1251,"Portland, ME",0.0,0.0,0.0,18.0,0.0,0.0
Frontier Airlines Inc.,2023-01-13,-35.0,539,"Washington, DC",0.0,0.0,0.0,43.0,0.0,0.0
Envoy Air,2023-01-13,45.0,3492,"Grand Rapids, MI",0.0,7.0,0.0,0.0,0.0,38.0
Envoy Air,2023-01-13,-10.0,4004,"Monterey, CA",0.0,15.0,0.0,0.0,0.0,42.0
Endeavor Air Inc.,2023-01-13,15.0,4695,"Omaha, NE",0.0,0.0,0.0,15.0,0.0,0.0
Envoy Air,2023-01-14,-17.0,3485,"Corpus Christi, TX",0.0,0.0,0.0,35.0,0.0,29.0
SkyWest Airlines Inc.,2023-01-14,-6.0,4935,"Beaumont/Port Arthur, TX",0.0,33.0,0.0,0.0,0.0,0.0
Hawaiian Airlines Inc.,2023-01-14,-4.0,21,"Seattle, WA",0.0,0.0,1.0,20.0,0.0,0.0
Endeavor Air Inc.,2023-01-15,-29.0,5264,"Grand Forks, ND",0.0,,,,,
Republic Airline,2023-01-15,3.0,3549,"Milwaukee, WI",0.0,0.0,0.0,13.0,0.0,5.0
United Air Lines Inc.,2023-01-15,-14.0,2410,"Fresno, CA",0.0,34.0,0.0,2.0,0.0,69.0
Hawaiian Airlines Inc.,2023-01-15,6.0,59,"Sacramento, CA",0.0,30.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,2023-01-15,-29.0,4814,"Harrisburg, PA",0.0,0.0,0.0,22.0,0.0,55.0
PSA Airlines Inc.,2023-01-15,-10.0,5387,"New Orleans, LA",0.0,3.0,0.0,20.0,0.0,19.0
